session,is_bot,prolific_id,id_in_session,idx,round_number,multiplier,disclose,contribution,rt1,rt2,reward,payoff,total,individual_share,opp_multiplier,opp_disclose,opp_p_disclose,opp_contribution,opp_payoff,total_contribution
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,52,2.5,1,10,2720,3502,25.0,25.0,943.0,25.0,2.5,1,0.75,10,25.0,50.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,52,2.5,1,0,5325,3030,10.0,10.0,925.0,0.0,1.5,1,0.25,0,10.0,0.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,53,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,53,1.5,1,1,3290,8560,17.0,17.0,889.0,8.0,1.5,1,0.75,10,8.0,16.5
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,53,2.5,1,8,3958,7146,24.0,24.0,967.0,22.0,2.5,1,0.75,10,22.0,45.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,53,2.5,1,7,1189,2092,19.0,19.0,944.0,16.0,1.5,0,0.25,10,16.0,32.5
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,54,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,54,1.5,1,2,8178,7242,17.0,17.0,906.0,9.0,1.5,1,0.75,10,9.0,18.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,54,2.5,0,10,3440,3968,25.0,25.0,992.0,25.0,2.5,1,0.75,10,25.0,50.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,54,2.5,1,10,1320,2803,12.0,12.0,956.0,12.0,1.5,0,0.25,0,22.0,25.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,55,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,55,1.5,1,2,14333,6632,10.0,10.0,916.0,2.0,1.5,1,0.75,0,12.0,3.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,55,2.5,1,10,6536,4182,25.0,25.0,1017.0,25.0,2.5,1,0.75,10,25.0,50.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,55,2.5,1,8,881,2701,24.0,24.0,980.0,22.0,2.5,0,0.25,10,22.0,45.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,56,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,56,1.5,1,4,3849,5235,22.0,22.0,938.0,16.0,2.5,1,0.75,10,16.0,31.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,56,2.5,1,10,4242,3086,25.0,25.0,1042.0,25.0,2.5,1,0.75,10,25.0,50.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,56,2.5,1,9,1259,4948,25.0,25.0,1005.0,24.0,2.5,0,0.25,10,24.0,47.5
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,57,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,57,1.5,1,2,5373,5679,10.0,10.0,948.0,2.0,1.5,1,0.75,0,12.0,3.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,57,2.5,1,2,3199,5210,23.0,23.0,1065.0,15.0,2.5,1,0.75,10,15.0,30.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,57,2.5,1,8,1376,2337,24.0,24.0,1029.0,22.0,2.5,0,0.25,10,22.0,45.0
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,58,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,58,1.5,1,2,2977,2856,10.0,10.0,958.0,2.0,1.5,1,0.75,0,12.0,3.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,58,2.5,1,9,3632,6697,20.0,20.0,1085.0,19.0,1.5,1,0.75,10,19.0,37.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,58,2.5,1,5,1564,2110,24.0,24.0,1053.0,19.0,2.5,0,0.25,10,19.0,37.5
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,59,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,59,1.5,1,2,5283,7054,10.0,10.0,968.0,2.0,1.5,1,0.75,0,12.0,3.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,59,2.5,1,5,5855,4410,19.0,19.0,1104.0,14.0,1.5,1,0.75,10,14.0,27.5
