session,is_bot,prolific_id,id_in_session,id_in_group,multiplier,disclose,contribution,rt1,rt2,payoff,total,round_number,individual_share,total_contribution,group_id,disclosure_group
7z3ijibl,0,607a981a8b7874690d597c0d,13,1,1.5,0,4,11505,7373,12.0,12.0,4,6.0,12.0,1148,1
7z3ijibl,0,60a1516dc132822469f45c55,14,2,2.5,0,6,19853,15487,16.5,16.5,4,12.5,25.0,1142,1
7z3ijibl,1,6008057b6fbeef0d476b756b,15,1,2.5,1,10,4889,3282,20.0,20.0,4,20.0,40.0,1135,2
7z3ijibl,0,608adf0cc8637f7f395352b1,16,2,1.5,1,8,8354,3631,14.0,14.0,4,12.0,24.0,1150,1
7z3ijibl,1,60199372bd48490e12a0d92e,17,1,2.5,1,10,8529,5735,25.0,25.0,4,25.0,50.0,1141,2
7z3ijibl,1,5dc0a28f27d05205683c8bb3,18,1,2.5,-1,-1,-1,-1,-1.0,0.0,4,-1.0,-1.0,1136,1
7z3ijibl,1,5f591c6d75be841230aa6ced,19,2,1.5,1,0,9408,6748,15.25,15.25,4,5.25,10.5,1152,2
7z3ijibl,1,60a2d1593f270f92fa69305d,20,2,2.5,1,10,4920,2808,25.0,25.0,4,25.0,50.0,1144,2
7z3ijibl,1,5ea8010daf54da1e951b8861,21,1,2.5,1,10,7226,5232,17.75,17.75,4,17.75,35.5,1138,2
7z3ijibl,1,60256d8ad9b88a0cb709e65a,22,1,2.5,1,7,-1,-1,17.0,17.0,4,14.0,28.0,1139,1
7z3ijibl,1,60acb5d4727b993c9f32ee72,23,2,2.5,1,6,14152,5939,21.5,21.5,4,17.5,35.0,1145,2
7z3ijibl,0,5baf6705848bbd0001d6fc8a,24,2,1.5,0,6,11229,5365,11.0,11.0,4,7.0,14.0,1137,1
7z3ijibl,1,60185125a263080a4243e740,25,1,2.5,1,4,7243,6212,18.5,18.5,4,12.5,25.0,1142,1
7z3ijibl,1,5e4810c074edcc2b4f31ab83,26,2,1.5,-1,-1,-1,-1,-1.0,0.0,4,-1.0,-1.0,1136,1
7z3ijibl,0,5cd7e678df739100011b1839,27,1,2.5,1,7,24937,7709,11.75,11.75,4,8.75,17.5,1146,1
7z3ijibl,1,600abec042ce9902cb63f0a2,28,2,1.5,1,4,13364,17655,12.0,12.0,4,6.0,12.0,1148,2
7z3ijibl,0,5ec3b9e83f187802a6aa041e,29,1,1.5,1,5,8329,5229,14.75,14.75,4,9.75,19.5,1149,1
7z3ijibl,1,607c788174ef9ae298722d37,30,1,1.5,1,7,-1,-1,8.25,8.25,4,5.25,10.5,1152,1
7z3ijibl,1,5f60713e595007000a8e1da7,31,1,2.5,1,10,5579,3276,20.0,20.0,4,20.0,40.0,1140,2
7z3ijibl,1,5f52237276d614488e847c1b,32,1,2.5,0,2,16926,8300,15.0,15.0,4,7.0,14.0,1137,2
7z3ijibl,1,609c35609e77fba7ec90ec1e,33,1,1.5,1,7,-1,-1,12.0,12.0,4,9.0,18.0,1151,1
7z3ijibl,1,5f563d4bc1684c0241b17264,34,2,1.5,1,10,8167,7729,20.0,20.0,4,20.0,40.0,1140,2
7z3ijibl,0,609101a8a29bc713a6bcdbba,35,2,1.5,1,7,17937,8183,20.75,20.75,4,17.75,35.5,1138,1
7z3ijibl,1,5a94a2b24eecca0001dd3c43,36,1,1.5,1,8,8890,6769,14.0,14.0,4,12.0,24.0,1150,2
7z3ijibl,1,576597499dcd970001dbdbe5,1,1,2.5,1,2,3132,4027,17.25,42.25,5,9.25,18.5,1157,2
7z3ijibl,0,60a90be1be2d42fba2368523,2,1,2.5,1,10,2928,4618,25.0,50.0,5,25.0,50.0,1163,1
7z3ijibl,1,5ce19c2090d2dc0015f86ca7,3,1,2.5,1,0,2103,4354,17.5,37.0,5,7.5,15.0,1160,2
7z3ijibl,1,5be03bf177e0190001b4ad0a,4,2,2.5,1,10,1998,3309,20.0,45.0,5,20.0,40.0,1161,2
7z3ijibl,0,5fbab1b8266280ad6e6e13c7,5,2,1.5,1,8,3462,12553,13.25,25.0,5,11.25,22.5,1168,1
7z3ijibl,1,581ccd016c73180001fa5b2a,6,1,1.5,1,10,3795,6477,12.75,20.25,5,12.75,25.5,1169,2
7z3ijibl,1,57843b986475d400015a8e45,7,2,1.5,1,6,1305,3612,8.5,28.5,5,4.5,9.0,1155,2
7z3ijibl,1,5eea1be10e95520beb9fa654,8,2,1.5,1,7,7448,12418,12.75,26.75,5,9.75,19.5,1170,2
7z3ijibl,0,5c0873675b32d500012e3f2c,9,1,1.5,1,5,5072,9781,11.0,28.0,5,6.0,12.0,1165,1
7z3ijibl,0,607c8faf6d8e98b09d585eb3,10,1,2.5,0,0,3608,5213,14.5,33.25,5,4.5,9.0,1155,1
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,1,2.5,1,7,2599,11732,14.75,39.75,5,11.75,23.5,1153,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,2,1.5,1,3,5376,10644,13.0,30.5,5,6.0,12.0,1165,1
7z3ijibl,0,607a981a8b7874690d597c0d,13,2,1.5,0,5,8609,8780,18.75,30.75,5,13.75,27.5,1154,1
7z3ijibl,0,60a1516dc132822469f45c55,14,1,2.5,1,10,8388,3663,25.0,41.5,5,25.0,50.0,1162,1
7z3ijibl,1,6008057b6fbeef0d476b756b,15,2,2.5,1,10,2072,1963,21.25,41.25,5,21.25,42.5,1159,2
7z3ijibl,0,608adf0cc8637f7f395352b1,16,2,1.5,1,8,2288,2815,13.25,27.25,5,11.25,22.5,1166,1
7z3ijibl,1,60199372bd48490e12a0d92e,17,2,2.5,1,10,5241,4366,25.0,50.0,5,25.0,50.0,1163,2
7z3ijibl,1,5dc0a28f27d05205683c8bb3,18,1,2.5,0,7,-1,-1,17.0,17.0,5,14.0,28.0,1158,1
7z3ijibl,1,5f591c6d75be841230aa6ced,19,1,1.5,1,0,3155,8484,17.5,32.75,5,7.5,15.0,1167,2
7z3ijibl,1,60a2d1593f270f92fa69305d,20,2,2.5,1,10,1946,2508,25.0,50.0,5,25.0,50.0,1162,2
7z3ijibl,1,5ea8010daf54da1e951b8861,21,1,2.5,1,10,3992,3269,18.75,36.5,5,18.75,37.5,1164,2
7z3ijibl,1,60256d8ad9b88a0cb709e65a,22,1,2.5,1,7,-1,-1,24.25,41.25,5,21.25,42.5,1159,1
7z3ijibl,1,60acb5d4727b993c9f32ee72,23,1,2.5,1,6,8085,5395,24.0,45.5,5,20.0,40.0,1161,2
7z3ijibl,0,5baf6705848bbd0001d6fc8a,24,2,1.5,0,9,3940,7576,10.25,21.25,5,9.25,18.5,1157,1
7z3ijibl,1,60185125a263080a4243e740,25,2,2.5,0,6,4268,5151,11.5,30.0,5,7.5,15.0,1160,1
7z3ijibl,1,5e4810c074edcc2b4f31ab83,26,1,1.5,1,7,-1,-1,14.25,14.25,5,11.25,22.5,1166,1
7z3ijibl,0,5cd7e678df739100011b1839,27,1,2.5,1,8,6819,14131,15.75,27.5,5,13.75,27.5,1154,1
7z3ijibl,1,600abec042ce9902cb63f0a2,28,2,1.5,1,4,3608,8752,17.75,29.75,5,11.75,23.5,1153,2
7z3ijibl,0,5ec3b9e83f187802a6aa041e,29,1,1.5,1,6,2112,4019,13.75,28.5,5,9.75,19.5,1170,1
7z3ijibl,1,607c788174ef9ae298722d37,30,2,1.5,0,7,-1,-1,18.25,26.5,5,15.25,30.5,1156,1
7z3ijibl,1,5f60713e595007000a8e1da7,31,1,2.5,1,8,2310,7431,17.25,37.25,5,15.25,30.5,1156,2
7z3ijibl,1,5f52237276d614488e847c1b,32,2,2.5,1,5,6790,7609,23.75,38.75,5,18.75,37.5,1164,2
7z3ijibl,1,609c35609e77fba7ec90ec1e,33,1,1.5,1,7,-1,-1,14.25,26.25,5,11.25,22.5,1168,1
7z3ijibl,1,5f563d4bc1684c0241b17264,34,2,1.5,1,10,3290,6721,7.5,27.5,5,7.5,15.0,1167,2
7z3ijibl,0,609101a8a29bc713a6bcdbba,35,2,1.5,1,7,9736,4756,17.0,37.75,5,14.0,28.0,1158,1
7z3ijibl,1,5a94a2b24eecca0001dd3c43,36,2,1.5,1,7,4580,7003,15.75,29.75,5,12.75,25.5,1169,2
7z3ijibl,1,576597499dcd970001dbdbe5,1,1,2.5,1,10,4742,5511,25.0,67.25,6,25.0,50.0,1177,2
7z3ijibl,0,60a90be1be2d42fba2368523,2,2,2.5,1,10,3486,4566,25.0,75.0,6,25.0,50.0,1177,1
7z3ijibl,1,5ce19c2090d2dc0015f86ca7,3,1,2.5,1,8,1571,4813,18.25,55.25,6,16.25,32.5,1180,2
7z3ijibl,1,5be03bf177e0190001b4ad0a,4,1,2.5,1,4,3200,5072,11.0,56.0,6,5.0,10.0,1181,2
7z3ijibl,0,5fbab1b8266280ad6e6e13c7,5,1,1.5,1,5,2866,5285,16.25,41.25,6,11.25,22.5,1186,1
7z3ijibl,1,581ccd016c73180001fa5b2a,6,2,1.5,1,10,4527,7005,18.75,39.0,6,18.75,37.5,1175,2
7z3ijibl,1,57843b986475d400015a8e45,7,1,1.5,1,4,3042,2667,15.0,43.5,6,9.0,18.0,1183,2
7z3ijibl,1,5eea1be10e95520beb9fa654,8,1,1.5,1,9,5707,7281,13.0,39.75,6,12.0,24.0,1187,2
7z3ijibl,0,5c0873675b32d500012e3f2c,9,2,1.5,0,5,4893,4599,11.0,39.0,6,6.0,12.0,1185,1
7z3ijibl,0,607c8faf6d8e98b09d585eb3,10,2,2.5,0,0,4608,6156,15.0,48.25,6,5.0,10.0,1181,1
7z3ijibl,1,5f5aa7a073b8271a0ab0947c,11,2,2.5,1,10,2945,4584,25.0,64.75,6,25.0,50.0,1182,2
7z3ijibl,0,608c2f0f1df309615f6f5b52,12,2,1.5,1,10,9439,13179,15.0,45.5,6,15.0,30.0,1188,1
7z3ijibl,0,607a981a8b7874690d597c0d,13,2,1.5,1,3,6333,7615,21.75,52.5,6,14.75,29.5,1174,1
